index,name,media_handle,media_user_id,origin_list
169,AprilDRyan,AprilDRyan,18018355,US-journo-Twitter
170,Tom Brokaw,tombrokaw,342803375,US-journo-Twitter
171,Michael Beschloss,BeschlossDC,874916178,US-journo-Twitter
172,Cousin Angela,angela_rye,32780218,US-journo-Twitter
173,Rick Santorum,RickSantorum,58379000,US-journo-Twitter
174,Ben Smith,BuzzFeedBen,9532402,US-journo-Twitter
175,Lara Spencer,LaraSpencer,23996721,US-journo-Twitter
176,John King,JohnKingCNN,30043495,US-journo-Twitter
177,zeynep tufekci,zeynep,65375759,US-journo-Twitter
178,Jonathan Capehart,CapehartJ,97474887,US-journo-Twitter
179,Ainsley Earhardt,ainsleyearhardt,186646579,US-journo-Twitter
180,Jonah Goldberg,JonahNRO,71627462,US-journo-Twitter
181,Richard Engel,RichardEngel,47438401,US-journo-Twitter
182,andrew kaczynski🤔,KFILE,326255267,US-journo-Twitter
183,Kasie Hunt,kasie,12354832,US-journo-Twitter
184,Ed Henry,edhenry,16157855,US-journo-Twitter
185,Matt Bruenig,MattBruenig,327337127,US-journo-Twitter
186,Reza Aslan,rezaaslan,262856460,US-journo-Twitter
187,Nick Bilton,nickbilton,1586501,US-journo-Twitter
188,Ari Fleischer,AriFleischer,35218566,US-journo-Twitter
189,Hallie Jackson,HallieJackson,37590426,US-journo-Twitter
190,Sara A. Carter,SaraCarterDC,25202268,US-journo-Twitter
191,Bradd Jaffy,BraddJaffy,299802277,US-journo-Twitter
192,John Bolton,AmbJohnBolton,118756393,US-journo-Twitter
193,Shannon Bream,ShannonBream,18983793,US-journo-Twitter
194,John Schindler,20committee,635608354,US-journo-Twitter
195,Kirsten Powers,KirstenPowers,14335880,US-journo-Twitter
196,Tony Dandrades,tonydandrades,59508780,US-journo-Twitter
197,Judd Legum,JuddLegum,15464697,US-journo-Twitter
198,Jeff Zeleny,jeffzeleny,85131054,US-journo-Twitter
199,Elyangelica González,ElyangelicaNews,76119597,US-journo-Twitter
200,Kennedy,KennedyNation,43277789,US-journo-Twitter
201,Robin Meade,RobinMeade,145745936,US-journo-Twitter
202,Neida Sandoval,NeidaSandoval,140465563,US-journo-Twitter
203,Isha Sesay,IshaSesayCNN,89787662,US-journo-Twitter
204,Yashar Ali 🐘,yashar,11744152,US-journo-Twitter
205,Nicolle Wallace,NicolleDWallace,860555190,US-journo-Twitter
206,Byron York,ByronYork,47739450,US-journo-Twitter
207,Frank Luntz,FrankLuntz,197496309,US-journo-Twitter
208,Kashmir Hill,kashhill,25160944,US-journo-Twitter
209,Jamie Ross,JamieRoss7,19925839,US-journo-Twitter
210,Brooke Baldwin,BrookeBCNN,49204865,US-journo-Twitter
211,Benjamin Wittes,benjaminwittes,186667011,US-journo-Twitter
212,Ana Kasparian,AnaKasparian,23865382,US-journo-Twitter
213,Brian Williams,BWilliams,173999134,US-journo-Twitter
214,Josh Marshall,joshtpm,21268897,US-journo-Twitter
215,Stephanie Ruhle,SRuhle,382685028,US-journo-Twitter
216,Candy Crowley,CandyCrowley,27901418,US-journo-Twitter
217,Jim Waterson,jimwaterson,25275453,US-journo-Twitter
218,David Limbaugh,DavidLimbaugh,179245596,US-journo-Twitter
219,HARRISFAULKNER,HARRISFAULKNER,18313747,US-journo-Twitter
220,Shepard Smith,ShepNewsTeam,169203819,US-journo-Twitter
221,Peter Alexander,PeterAlexander,91386979,US-journo-Twitter
222,Mary Katharine Ham,mkhammer,4923811,US-journo-Twitter
223,Rukmini Callimachi,rcallimachi,30699754,US-journo-Twitter
224,Charles V Payne,cvpayne,19400611,US-journo-Twitter
225,Hilary Rosen,hilaryr,15097615,US-journo-Twitter
226,Jim Sciutto,jimsciutto,22129280,US-journo-Twitter
227,Jonathan Martin,jmartNYT,18678924,US-journo-Twitter
228,Steve Doocy,SteveDoocy,22055109,US-journo-Twitter
229,andy levy,andylevy,7841652,US-journo-Twitter
230,Howard Fineman,howardfineman,14962779,US-journo-Twitter
231,Max Keiser,maxkeiser,20374262,US-journo-Twitter
232,Steve Kornacki,SteveKornacki,44134773,US-journo-Twitter
233,Tom Fitton,TomFitton,18266688,US-journo-Twitter
234,Jessica Valenti,JessicaValenti,4099171,US-journo-Twitter
235,Kat Timpf,KatTimpf,170861207,US-journo-Twitter
236,Steve Inskeep,NPRinskeep,115710058,US-journo-Twitter
237,Ryan Lizza,RyanLizza,80617430,US-journo-Twitter
238,Dave Itzkoff,ditzkoff,81482674,US-journo-Twitter
239,Dick Morris,DickMorrisTweet,49140008,US-journo-Twitter
240,Philip Rucker,PhilipRucker,59331128,US-journo-Twitter
241,Dan Abrams,danabrams,21023681,US-journo-Twitter
242,Mark Steyn,MarkSteynOnline,270412323,US-journo-Twitter
243,Zeke Miller,ZekeJMiller,21316253,US-journo-Twitter
244,Geraldo Rivera,GeraldoRivera,246500501,US-journo-Twitter
245,Jon Passantino,passantino,2267241,US-journo-Twitter
246,b-boy bouiebaisse,jbouie,14190948,US-journo-Twitter
247,Ed Schultz,edshow,75052666,US-journo-Twitter
248,Larry Kudlow,larry_kudlow,44401911,US-journo-Twitter
249,Hala Gorani,HalaGorani,25333609,US-journo-Twitter
250,Alexis C. Madrigal,alexismadrigal,11107172,US-journo-Twitter
251,Alex Wagner,alexwagner,54208274,US-journo-Twitter
252,Valerie Jarrett,vj44,595515713,US-journo-Twitter
253,SFK,stephenkruiser,12144232,US-journo-Twitter
254,Eric W. Dolan,EWDolan,29309901,US-journo-Twitter
255,John Heilemann,jheil,14251225,US-journo-Twitter
256,Charlie Rose,charlierose,58550415,US-journo-Twitter
257,Erick Erickson,EWErickson,640893,US-journo-Twitter
258,Becky Quick,BeckyQuick,119372054,US-journo-Twitter
259,Jonathan Karl,jonkarl,15931637,US-journo-Twitter
260,Jeffrey Goldberg,JeffreyGoldberg,47448886,US-journo-Twitter
261,Natasha Bertrand,NatashaBertrand,372536101,US-journo-Twitter
262,Norah O'Donnell🇺🇸,NorahODonnell,21111896,US-journo-Twitter
263,Josh Rogin,joshrogin,15766082,US-journo-Twitter
264,Anne Applebaum,anneapplebaum,297100174,US-journo-Twitter
265,John Harwood,JohnJHarwood,259395895,US-journo-Twitter
266,Major Garrett,MajorCBS,46176168,US-journo-Twitter
267,Paul Begala,PaulBegala,352548417,US-journo-Twitter
268,Dan Harris,danbharris,18638502,US-journo-Twitter
269,Jane Velez-Mitchell,JVM,39605560,US-journo-Twitter
270,Melissa Francis,MelissaAFrancis,29515247,US-journo-Twitter
271,Katrina vandenHeuvel,KatrinaNation,59159771,US-journo-Twitter
272,igorvolsky,igorvolsky,16002085,US-journo-Twitter
273,Greg Sargent,ThePlumLineGS,20508720,US-journo-Twitter
274,Peter Daou,peterdaou,18464266,US-journo-Twitter
275,"James Martin, SJ",JamesMartinSJ,226320142,US-journo-Twitter
276,Nate Cohn,Nate_Cohn,463765807,US-journo-Twitter
277,Ashley Parker,AshleyRParker,33919343,US-journo-Twitter
278,Markos Moulitsas,markos,24431892,US-journo-Twitter
279,Julia Ioffe,juliaioffe,71048726,US-journo-Twitter
280,HowardKurtz,HowardKurtz,15731368,US-journo-Twitter
281,Kelly O'Donnell,KellyO,224320485,US-journo-Twitter
282,Walter Shaub,waltshaub,830908366377611264,US-journo-Twitter
283,Katharine Viner,KathViner,27212264,US-journo-Twitter
284,Peggy Noonan,Peggynoonannyc,35474809,US-journo-Twitter
285,Tony Schwartz,tonyschwartz,17579312,US-journo-Twitter
286,Tammy Bruce,HeyTammyBruce,22956220,US-journo-Twitter
287,Cecile Richards,CecileRichards,17011177,US-journo-Twitter
288,Heather Childers,HeatherChilders,220081296,US-journo-Twitter
289,Jeet Heer,HeerJeet,604940737,US-journo-Twitter
290,Kristie Lu Stout✌🏽,klustout,22587869,US-journo-Twitter
291,Casto Ocando,cocando,19375314,US-journo-Twitter
292,Debora Patta,Debora_Patta,206978050,US-journo-Twitter
293,Michael Smerconish,smerconish,22677427,US-journo-Twitter
294,Hugh Hewitt,hughhewitt,15075999,US-journo-Twitter
295,de bleck penta,fivefifths,36252186,US-journo-Twitter
296,Jennifer Weiner,jenniferweiner,28472888,US-journo-Twitter
297,Blake Hounshell,blakehounshell,17243582,US-journo-Twitter
298,Bakari Sellers,Bakari_Sellers,241201438,US-journo-Twitter
299,EJ Dionne,EJDionne,453319164,US-journo-Twitter
300,Samuel Burke,samuelcnn,115522779,US-journo-Twitter
301,BillMoyers.com,BillMoyers,15667291,US-journo-Twitter
302,James Fallows,JamesFallows,24789175,US-journo-Twitter
303,Guillermo ARDUINO,arduinoCNN,34421926,US-journo-Twitter
304,Anne-Marie Slaughter,SlaughterAM,252531143,US-journo-Twitter
305,David Brooks,nytdavidbrooks,633980404,US-journo-Twitter
306,Jennifer Rubin,JRubinBlogger,218975278,US-journo-Twitter
307,Ben Jacobs,Bencjacobs,218325695,US-journo-Twitter
308,Scott Wapner,ScottWapnerCNBC,263197731,US-journo-Twitter
309,David Gergen,David_Gergen,243291022,US-journo-Twitter
310,Olivia Nuzzi,Olivianuzzi,21212087,US-journo-Twitter
311,Carl Quintanilla,carlquintanilla,114782468,US-journo-Twitter
312,jelani cobb,jelani9,14155907,US-journo-Twitter
313,Rick Sanchez,RickSanchezTV,15641893,US-journo-Twitter
314,Rich Lowry,RichLowry,40116885,US-journo-Twitter
315,Ayman Mohyeldin,AymanM,23588075,US-journo-Twitter
316,Natalia Cruz,NataliaCruzNews,84392266,US-journo-Twitter
317,Jeffrey Toobin,JeffreyToobin,522282462,US-journo-Twitter
318,Susan Hennessey,Susan_Hennessey,7855062,US-journo-Twitter
319,Alex Burns,alexburnsNYT,79743108,US-journo-Twitter
320,George F. Will,GeorgeWill,2255182597,US-journo-Twitter
321,Nick Confessore,nickconfessore,258885469,US-journo-Twitter
322,Jonathan Chait,jonathanchait,50446226,US-journo-Twitter
323,Henry Blodget,hblodget,6730222,US-journo-Twitter
324,Jamil Smith,JamilSmith,46213956,US-journo-Twitter
325,Jamie Dupree,jamiedupree,27882000,US-journo-Twitter
326,Kristen Welker,kwelkernbc,297532865,US-journo-Twitter
327,David Faber,davidfaber,140912249,US-journo-Twitter
328,Manu Raju,mkraju,39155029,US-journo-Twitter
329,Michael A. Nutter,Michael_Nutter,202790178,US-journo-Twitter
330,Kai Ryssdal,kairyssdal,30013010,US-journo-Twitter
331,Justin Wolfers,JustinWolfers,327577091,US-journo-Twitter
332,gwen ifill,gwenifill,164412502,US-journo-Twitter
333,Chris Uhlmann,CUhlmann,66612373,US-journo-Twitter
334,Peter Baker,peterbakernyt,123327472,US-journo-Twitter
335,Mihir Sharma,mihirssharma,4126501,US-journo-Twitter
336,Niall Ferguson,nfergus,49279876,US-journo-Twitter
337,Ari Shapiro,arishapiro,37999041,US-journo-Twitter
338,Melissa @ MSNBC,MHPshow,475286355,US-journo-Twitter
339,Robert G Beckel,RobertGBeckel,371465104,US-journo-Twitter
340,Buck Sexton,BuckSexton,334715818,US-journo-Twitter
341,Ross Douthat,DouthatNYT,546135718,US-journo-Twitter
342,Spencer Ackerman,attackerman,15978412,US-journo-Twitter
343,Matt Walsh,MattWalshBlog,1500129642,US-journo-Twitter
344,Rev Jesse Jackson Sr,RevJJackson,80366372,US-journo-Twitter
345,T.J. Holmes,tjholmes,16145763,US-journo-Twitter
346,Guy Benson,guypbenson,16193222,US-journo-Twitter
347,Ma Antonieta Collins,CollinsOficial,246378883,US-journo-Twitter
348,Meredith Vieira,meredithvieira,252763592,US-journo-Twitter
349,Enrique Acevedo,Enrique_Acevedo,44000905,US-journo-Twitter
350,Tom Nichols,RadioFreeTom,459872442,US-journo-Twitter
351,Amy Robach,arobach,284991184,US-journo-Twitter
352,Matt Pearce 🦅,mattdpearce,69004966,US-journo-Twitter
353,Karen Tumulty,ktumulty,14270650,US-journo-Twitter
354,benwedeman,bencnn,83590349,US-journo-Twitter
355,Molly Ball,mollyesque,130945778,US-journo-Twitter
356,Stephanie Flanders,MyStephanomics,259288589,US-journo-Twitter
357,Arwa Damon,arwaCNN,17325090,US-journo-Twitter
358,Larry Sabato,LarrySabato,21313053,US-journo-Twitter
359,Keith Boykin,keithboykin,21728303,US-journo-Twitter
360,Eric Boehlert,EricBoehlert,34643610,US-journo-Twitter
361,jose diaz-balart,jdbalart,49733381,US-journo-Twitter
362,T'Challah 🍝,AdamSerwer,16326882,US-journo-Twitter
363,McKay Coppins,mckaycoppins,21431618,US-journo-Twitter
364,Ashley Feinberg,ashleyfeinberg,165944767,US-journo-Twitter
365,Laura Rozen,lrozen,47455112,US-journo-Twitter
366,Leslie Marshall,LeslieMarshall,26350255,US-journo-Twitter
367,amy walter,amyewalter,50073507,US-journo-Twitter
368,Brianna Keilar,brikeilarcnn,46817943,US-journo-Twitter
369,Renato Mariotti,renato_mariotti,759481842814726144,US-journo-Twitter
370,audie cornish,nprAudie,31448660,US-journo-Twitter
371,John Iadarola,johniadarola,25694156,US-journo-Twitter
372,John Podhoretz,jpodhoretz,12612432,US-journo-Twitter
373,Wes Clark,GeneralClark,41988894,US-journo-Twitter
374,Max Boot,MaxBoot,28162211,US-journo-Twitter
375,Symone D. Sanders,SymoneDSanders,2434051392,US-journo-Twitter
376,Max Fisher,Max_Fisher,17060020,US-journo-Twitter
377,Peter Doocy,pdoocy,56749157,US-journo-Twitter
378,Franklin Foer,FranklinFoer,153860327,US-journo-Twitter
379,Charles C. W. Cooke,charlescwcooke,233484761,US-journo-Twitter
380,Sarah Kliff,sarahkliff,19734832,US-journo-Twitter
381,Jenna Johnson,wpjenna,15893354,US-journo-Twitter
382,Mollie,MZHemingway,18005085,US-journo-Twitter
383,Rania Khalek,RaniaKhalek,37501003,US-journo-Twitter
384,Barry Ritholtz,ritholtz,49753604,US-journo-Twitter
385,Alan Dershowitz,AlanDersh,372372537,US-journo-Twitter
386,David Smith,SmithInAmerica,30257834,US-journo-Twitter
387,Declan Walsh,declanwalsh,21734241,US-journo-Twitter
388,Eric Lipton,EricLiptonNYT,375662595,US-journo-Twitter
389,Michael Wolff,MichaelWolffNYC,19983050,US-journo-Twitter
390,Daniel Hannan,DanielJHannan,85794542,US-journo-Twitter
391,Sally Kohn,sallykohn,18978610,US-journo-Twitter
392,Mike Gallagher,radiotalkermike,18087749,US-journo-Twitter
393,Amanda Carpenter,amandacarpenter,14844867,US-journo-Twitter
394,Teresa Rodriguez,TereRodriguezTV,64748609,US-journo-Twitter
395,Pedro da Costa,pdacosta,65466158,US-journo-Twitter
396,Bob Schieffer,bobschieffer,18776942,US-journo-Twitter
397,Mike Forsythe  傅才德,PekingMike,217304598,US-journo-Twitter
398,Suzanne Malveaux,SuzanneMalveaux,26083271,US-journo-Twitter
399,David Webb,davidwebbshow,24295482,US-journo-Twitter
400,Chris Buckley 储百亮,ChuBailiang,19383099,US-journo-Twitter
401,Jason Miller,JasonMillerinDC,1084375028,US-journo-Twitter
402,Amanda Drury,MandyCNBC,222177693,US-journo-Twitter
403,(((Harry Enten))),ForecasterEnten,138141495,US-journo-Twitter
404,Shadi Hamid,shadihamid,24136198,US-journo-Twitter
405,Asha Rangappa,AshaRangappa_,510464011,US-journo-Twitter
406,Abby Huntsman,HuntsmanAbby,531627880,US-journo-Twitter
407,Rick Klein,rickklein,18172905,US-journo-Twitter
408,David Leonhardt,DLeonhardt,168295477,US-journo-Twitter
409,David French,DavidAFrench,240107748,US-journo-Twitter
410,Jake Sherman,JakeSherman,21252618,US-journo-Twitter
411,Gretchen Carlson,GretchenCarlson,1487846678,US-journo-Twitter
412,Bernard Goldberg,BernardGoldberg,27382597,US-journo-Twitter
413,Dave Wasserman,Redistrict,74820061,US-journo-Twitter
414,Francesca Biller,FrancescaBiller,18398180,US-journo-Twitter
415,Katty Kay,KattyKayBBC,43996908,US-journo-Twitter
